Question,Answer
"How long does shipping take?","Shipping usually takes 5-7 business days."
"Do you offer international shipping?","Yes, we offer international shipping to select countries."
"How can I track my order?","Once your order ships, we will send you a tracking number via email."
"What payment methods do you accept?","We accept Visa, Mastercard, PayPal, and Apple Pay."
"Can I change my order after placing it?","Changes can only be made within 1 hour of placing your order by contacting our support team."
"What is your return policy?","We accept returns within 30 days of delivery. Items must be unused and in original packaging."
"How do I start a return?","To start a return, please contact us through our returns portal or email support."
"Do you offer gift cards?","Yes, we offer digital gift cards in various amounts. They can be purchased through our website."
"Are your products eco-friendly?","Many of our products are made using sustainable materials and eco-friendly practices."
"How do I contact customer service?","You can reach us via email at support@example.com or through our contact form."
"Do I need an account to order?","No, you can check out as a guest. However, creating an account lets you track orders and save preferences."
"How can I reset my password?","Click 'Forgot Password' on the login page and follow the instructions sent to your email."
"Can I cancel my order?","Orders can be canceled within one hour of placement by contacting our support team."
"Where are you located?","Our headquarters are based in New York City, but we ship from multiple fulfillment centers."
"How are shipping costs calculated?","Shipping costs are calculated at checkout based on your location and chosen shipping method."
"Do you offer bulk discounts?","Yes, we offer discounts for bulk purchases. Contact our sales team for a custom quote."
"Is my payment information secure?","Absolutely. We use industry-standard SSL encryption to protect all transactions."
"Do you have physical stores?","Currently, we operate online only. Sign up for updates on any upcoming retail locations."
"Will I receive confirmation of my order?","Yes, you'll receive a confirmation email shortly after placing your order."
"What happens if my package is lost?","If your package is lost, contact our support team and we'll investigate or send a replacement."
